task_uid,task_id,source_sheet,source_row,split,difficulty,scenario_category,raw_task_type,affordance_mode,cli_allowed,prompt,dimension_sequence
120tasks30apps:MAIN_001,MAIN_001,120tasks30apps,4,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,"请帮我创建一个日历提醒，标题是""团队同步会议""，时间是本周五下午2点。",create_calendar_event
120tasks30apps:MAIN_002,MAIN_002,120tasks30apps,5,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我给 MCPtest_fzy260404@163.com 发一封邮件，主题是hello world。,send_email_mcp
120tasks30apps:MAIN_003,MAIN_003,120tasks30apps,6,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我新建一个联系人，名字是田中浩，电话是 1301231234。,gui(联系人)
120tasks30apps:MAIN_004,MAIN_004,120tasks30apps,7,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我在地图上找一下最近的手工咖啡馆在哪里。,search_tencent_map
120tasks30apps:MAIN_005,MAIN_005,120tasks30apps,8,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,我连不上 Wi-Fi，帮我打开 Wi-Fi 设置页面看看。,gui(设置)
120tasks30apps:MAIN_006,MAIN_006,120tasks30apps,9,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我打开手电筒。,shell_exec
120tasks30apps:MAIN_007,MAIN_007,120tasks30apps,10,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我把手电筒关掉。,shell_exec
120tasks30apps:MAIN_008,MAIN_008,120tasks30apps,11,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查一下手机现在的电量、电池温度和充电状态。,get_battery_status
120tasks30apps:MAIN_009,MAIN_009,120tasks30apps,12,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我把手机的媒体音量调到最大。,shell_exec
120tasks30apps:MAIN_010,MAIN_010,120tasks30apps,13,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我把屏幕亮度调低一点，设置到128，省点电。,shell_exec
120tasks30apps:MAIN_011,MAIN_011,120tasks30apps,14,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查一下这台手机支持哪些音频输出功能。,shell_exec
120tasks30apps:MAIN_012,MAIN_012,120tasks30apps,15,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查一下最近10条通话记录，看看都有谁打过来。,shell_exec
120tasks30apps:MAIN_013,MAIN_013,120tasks30apps,16,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我把手机里所有联系人的名字和电话号码列出来。,shell_exec
120tasks30apps:MAIN_014,MAIN_014,120tasks30apps,17,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查看最近20条收件箱短信，看有没有快递通知或验证码。,shell_exec
120tasks30apps:MAIN_015,MAIN_015,120tasks30apps,18,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查一下这部手机的设备信息，包括IMEI号码和当前使用的运营商。,shell_exec
120tasks30apps:MAIN_016,MAIN_016,120tasks30apps,19,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我用后置摄像头拍一张照片保存到手机里。,take_photo
120tasks30apps:MAIN_017,MAIN_017,120tasks30apps,20,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我播放手机里的 music.mp3 这首歌。,gui(音乐App)
120tasks30apps:MAIN_018,MAIN_018,120tasks30apps,21,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,我刚从网上下载了一批图片，帮我扫描一下让它们显示在手机相册里。,shell_exec
120tasks30apps:MAIN_019,MAIN_019,120tasks30apps,22,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我录制一段60秒的语音备忘，保存成 memo.m4a 文件。,shell_exec
120tasks30apps:MAIN_020,MAIN_020,120tasks30apps,23,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查看一下手机上当前有哪些还没处理的通知消息。,shell_exec
120tasks30apps:MAIN_021,MAIN_021,120tasks30apps,24,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我下载这个PDF文件到手机下载目录：https://arxiv.org/pdf/2303.08774。,shell_exec
120tasks30apps:MAIN_022,MAIN_022,120tasks30apps,25,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我查一下当前连接的WiFi名称、IP地址和网速是多少。,get_wifi_info
120tasks30apps:MAIN_023,MAIN_023,120tasks30apps,26,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我扫描一下附近都有哪些可以连的WiFi网络。,shell_exec
120tasks30apps:MAIN_024,MAIN_024,120tasks30apps,27,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我用浏览器打开天气预报网站：https://www.weather.com.cn。,gui(浏览器)
120tasks30apps:MAIN_025,MAIN_025,120tasks30apps,28,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,我在跑一个长时间任务，帮我开启唤醒锁防止手机休眠把它中断。,shell_exec
120tasks30apps:MAIN_026,MAIN_026,120tasks30apps,29,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我把手机通讯录列表整理一下，发邮件到 MCPtest_fzy260404@163.com 备份。,shell_exec→send_email_mcp
120tasks30apps:MAIN_027,MAIN_027,120tasks30apps,30,main,easy,1. 系统快捷操作,GUI/CLI,GUI or CLI alternative,True,帮我拍一张照片，然后把这张照片发邮件给 MCPtest_fzy260404@163.com。,take_photo→send_email_mcp
120tasks30apps:MAIN_028,MAIN_028,120tasks30apps,31,main,medium,3. 办公学习,GUI/CLI,GUI or CLI alternative,True,帮我把上个月的项目营收数据：电商占45%、广告占30%、服务占25%，生成对应的饼图，然后发邮件给陈丽MCPtest_fzy260404@163.com,chart_pie→send_email_mcp
120tasks30apps:MAIN_029,MAIN_029,120tasks30apps,32,main,hard,9. 银发用户/无障碍场景,GUI/CLI,GUI or CLI alternative,True,我每周三上午都要去社区医院测血压，你先帮我查查下周三会不会下雨啊，然后帮我设个每周三早上9点的提醒，顺便发个邮件告诉我闺女王丽MCPtest_fzy260404@163.com省得她老惦记我忘了去,websearch-text.prompt_search→create_calendar_event→send_email_mcp
